,eventid,iyear,imonth,iday,extended,country_txt,region_txt,provstate,city,latitude,longitude,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,gname,guncertain1,individual,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,ishostkid
0,197000000001,1970,7,2,0,Dominican Republic,Central America & Caribbean,,Santo Domingo,18.456792,-69.951164,1,1,1,0.0,0.0,1,0,Assassination,Private Citizens & Property,Named Civilian,,Julio Guzman,Dominican Republic,MANO-D,0.0,0,1.0,,,0.0,,,0.0
1,197000000002,1970,0,0,0,Mexico,North America,Federal,Mexico city,19.371887,-99.086624,1,1,1,0.0,0.0,1,0,Hostage Taking (Kidnapping),Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)",Belgian Ambassador Daughter,"Nadine Chaval, daughter",Belgium,23rd of September Communist League,0.0,0,0.0,,,0.0,,,1.0
2,197001000001,1970,1,0,0,Philippines,Southeast Asia,Tarlac,Unknown,15.478598,120.599741,1,1,1,0.0,0.0,1,0,Assassination,Journalists & Media,Radio Journalist/Staff/Facility,Voice of America,Employee,United States,Unknown,0.0,0,1.0,,,0.0,,,0.0
3,197001000002,1970,1,0,0,Greece,Western Europe,Attica,Athens,37.99749,23.762728,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Government (Diplomatic),Embassy/Consulate,,U.S. Embassy,United States,Unknown,0.0,0,,,,,,,0.0
4,197001000003,1970,1,0,0,Japan,East Asia,Fukouka,Fukouka,33.580412,130.396361,1,1,1,-9.0,0.0,1,0,Facility/Infrastructure Attack,Government (Diplomatic),Embassy/Consulate,,U.S. Consulate,United States,Unknown,0.0,0,,,,,,,0.0
5,197001010002,1970,1,1,0,United States,North America,Illinois,Cairo,37.005105,-89.176269,1,1,1,0.0,0.0,1,0,Armed Assault,Police,"Police Building (headquarters, station, school)",Cairo Police Department,Cairo Police Headquarters,United States,Black Nationalists,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,197001020001,1970,1,2,0,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214,1,1,1,0.0,0.0,0,0,Assassination,Police,Police Security Forces/Officers,Uruguayan Police,Juan Maria de Lucah/Chief of Directorate of info. and intell.,Uruguay,Tupamaros (Uruguay),0.0,0,0.0,,,0.0,,,0.0
7,197001020002,1970,1,2,0,United States,North America,California,Oakland,37.791927,-122.225906,1,1,1,1.0,0.0,1,0,Bombing/Explosion,Utilities,Electricity,Pacific Gas & Electric Company,Edes Substation,United States,Unknown,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,197001020003,1970,1,2,0,United States,North America,Wisconsin,Madison,43.076592,-89.412488,1,1,1,0.0,0.0,1,0,Facility/Infrastructure Attack,Military,Military Recruiting Station/Academy,R.O.T.C.,"R.O.T.C. offices at University of Wisconsin, Madison",United States,New Year's Gang,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,197001030001,1970,1,3,0,United States,North America,Wisconsin,Madison,43.07295,-89.386694,1,1,1,0.0,0.0,1,0,Facility/Infrastructure Attack,Government (General),Government Building/Facility/Office,Selective Service,Selective Service Headquarters in Madison Wisconsin,United States,New Year's Gang,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,197001050001,1970,1,1,0,United States,North America,Wisconsin,Baraboo,43.4685,-89.744299,1,1,0,1.0,0.0,0,0,Bombing/Explosion,Military,Military Barracks/Base/Headquarters/Checkpost,,Badger Army ammo depot.,United States,"Weather Underground, Weathermen",0.0,0,0.0,,,0.0,,,0.0
11,197001060001,1970,1,6,0,United States,North America,Colorado,Denver,39.758968,-104.876305,1,1,1,1.0,0.0,1,0,Facility/Infrastructure Attack,Military,Military Recruiting Station/Academy,Army Recruiting Station,"Army Recruiting Station, Denver Colorado",United States,Left-Wing Militants,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,197001080001,1970,1,8,0,Italy,Western Europe,Lazio,Rome,41.890961,12.490069,1,1,1,-9.0,0.0,1,0,Hijacking,Airports & Aircraft,Aircraft (not at an airport),Trans World Airline,Flight 802 Boeing 707,United States,Unknown,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,197001090001,1970,1,9,0,United States,North America,Michigan,Detroit,42.331685,-83.047924,1,1,1,0.0,0.0,1,0,Facility/Infrastructure Attack,Government (General),Government Building/Facility/Office,U.S. Government housing,Packard Properties building of Detroit Michigan,United States,Left-Wing Militants,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,197001090002,1970,1,9,0,United States,North America,Puerto Rico,Rio Piedras,18.386932,-66.061127,1,1,1,1.0,0.0,1,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,American owned business in Puerto Rico,Baker's Store,United States,Armed Commandos of Liberation,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,197001100001,1970,1,10,0,East Germany (GDR),Eastern Europe,Berlin,Berlin,52.50153,13.401851,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Government (General),,,Jurists Ball (Palais au Frankturm),Germany,Commune 1,0.0,0,,,,,,,0.0
16,197001110001,1970,1,11,0,Ethiopia,Sub-Saharan Africa,Unknown,Unknown,,,1,1,0,1.0,0.0,1,0,Unknown,Military,"Military Personnel (soldiers, troops, officers, forces)",U.S. Army,Soldier,United States,Eritrean Liberation Front,0.0,0,1.0,,,0.0,,,0.0
17,197001120001,1970,1,12,0,United States,North America,New York,New York City,40.697132,-73.931351,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Educational Institution,School/University/Educational Building,High School,James Madison High School,United States,Black Nationalists,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,197001120002,1970,1,12,0,United States,North America,Puerto Rico,Rio Grande,18.379998,-65.830948,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Business,Multinational Corporation,General Electric,General Electric factory in Rio Grande Puerto Rico,United States,Strikers,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,197001130001,1970,1,13,0,United States,North America,Washington,Seattle,47.610786,-122.331306,1,1,1,0.0,0.0,1,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Fuson's Department Store,"Fuson's Department Store, Seattle Washington",United States,Black Nationalists,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,197001140001,1970,1,14,0,United States,North America,Illinois,Champaign,40.116748,-88.23927,1,1,1,0.0,0.0,1,0,Facility/Infrastructure Attack,Police,"Police Building (headquarters, station, school)",Police Department,Champaign Police Department,United States,Black Nationalists,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
21,197001150001,1970,1,15,0,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214,1,1,1,0.0,0.0,1,0,Armed Assault,Educational Institution,School/University/Educational Building,,"Secondary School, Chemistry Lab",Uruguay,Tupamaros (Uruguay),0.0,0,0.0,,,0.0,,,0.0
22,197001190002,1970,1,19,0,United States,North America,Washington,Seattle,47.610786,-122.331306,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Educational Institution,School/University/Educational Building,Seattle University,"Liberal Arts and Garrand buildings, Seattle University",United States,Black Nationalists,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,197001190003,1970,1,19,0,United States,North America,Washington,Seattle,47.610786,-122.331306,1,1,1,0.0,0.0,0,0,Bombing/Explosion,Military,Military Recruiting Station/Academy,R.O.T.C.,Air Force R.O.T.C. at the University of Washington,United States,Student Radicals,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,197001190004,1970,1,19,0,United States,North America,New Jersey,Jersey City,40.717892,-74.067467,1,1,1,0.0,0.0,1,0,Facility/Infrastructure Attack,Violent Political Party,Party Office/Facility,Black Panther Party,Headquarters,United States,White extremists,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,197001200001,1970,1,20,0,Guatemala,Central America & Caribbean,Guatemala,Guatemala City,14.622869,-90.529068,1,1,1,0.0,0.0,1,0,Assassination,Government (Diplomatic),Embassy/Consulate,British consulate,"Bodyguard, British Consul",Great Britain,Unknown,0.0,0,1.0,,,0.0,,,0.0
26,197001210001,1970,1,21,0,Philippines,Southeast Asia,Metropolitan Manila,Quezon City,14.67428,121.057495,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Government (Diplomatic),Embassy/Consulate,,JUSMAG HQ,United States,Unknown,0.0,0,0.0,,,0.0,,,0.0
27,197001220001,1970,1,22,0,Venezuela,South America,Caracas,Caracas,10.482834,-66.962128,1,1,1,0.0,0.0,1,0,Hostage Taking (Kidnapping),Business,Retail/Grocery/Bakery,Father owned chain of dept stores,"Leon Jacobo Taurel, son",Venezuela,Armed Forces of National Liberation- Venezuela (FALN),0.0,0,0.0,,,0.0,,,1.0
28,197001220002,1970,1,22,0,United States,North America,Nebraska,South Sioux City,42.47031,-96.413949,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Private Citizens & Property,House/Apartment/Residence,Private residence,,United States,Strikers,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,197001250001,1970,1,25,0,United States,North America,Mississippi,West Point,33.60651,-88.650419,1,1,1,1.0,0.0,1,0,Facility/Infrastructure Attack,Private Citizens & Property,Race/Ethnicity Identified,Building,Building used as a meeting place for African Americans.,United States,White extremists,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,197001250002,1970,1,25,0,United States,North America,New York,New York City,40.697132,-73.931351,1,1,1,0.0,0.0,1,0,Armed Assault,Police,Police Security Forces/Officers,New York Police Department,New York Police Officers responding to a call in Harlem,United States,Black Nationalists,0.0,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
31,197001260001,1970,1,26,0,United States,North America,Mississippi,West Point,33.60651,-88.650419,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Government (General),Judge/Attorney/Court,Courthouse,Clay County Courthouse,United States,Black Nationalists,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,197001260003,1970,1,26,0,United States,North America,New York,New York City,40.697132,-73.931351,1,1,1,0.0,0.0,1,0,Armed Assault,Police,Police Patrol (including vehicles and convoys),New York Police Department,New York Police Officer on patrol in Forest Hills,United States,Black Nationalists,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,197001270002,1970,1,27,0,United States,North America,Ohio,Norwalk,41.241996,-82.615241,1,1,1,0.0,0.0,1,0,Facility/Infrastructure Attack,Government (General),Government Building/Facility/Office,Selective Service,Selective Service office in Norwalk Ohio,United States,Left-Wing Militants,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,197001280001,1970,1,28,0,East Germany (GDR),Eastern Europe,Berlin,Berlin,52.50153,13.401851,1,1,1,-9.0,0.0,1,0,Facility/Infrastructure Attack,Police,Police Security Forces/Officers,,Residence of President of Penal Office,Germany,Unknown,0.0,0,,,,,,,0.0
35,197001280002,1970,1,28,0,United States,North America,Washington,Seattle,47.610786,-122.331306,1,1,1,1.0,0.0,1,0,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Jewish Synagogue,Temple De Hirsch,United States,White extremists,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,197001300001,1970,1,30,0,United States,North America,Nebraska,South Sioux City,42.479999,-96.413046,1,1,1,0.0,1.0,1,0,Bombing/Explosion,Unknown,,Unknown building,,United States,Strikers,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,197001300002,1970,1,30,0,United States,North America,Nebraska,South Sioux City,42.46634,-96.41405,1,1,1,0.0,1.0,1,0,Bombing/Explosion,Business,Retail/Grocery/Bakery,,A & B Boat Shop,United States,Strikers,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,197001300003,1970,1,30,0,United States,North America,Florida,Coral Gables,25.720851,-80.277857,1,1,1,0.0,0.0,1,0,Facility/Infrastructure Attack,Military,Military Recruiting Station/Academy,Army R.O.T.C.,"Army R.O.T.C., University of Miami",United States,Student Radicals,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,197001310001,1970,1,31,0,Philippines,Southeast Asia,Tarlac,Bamban,15.675051,120.331618,1,1,0,1.0,0.0,0,0,Unknown,Military,"Military Personnel (soldiers, troops, officers, forces)",U.S. Navy,Seaman,United States,New People's Army (NPA),0.0,0,0.0,,,1.0,,,0.0
40,197001310002,1970,1,31,0,United States,North America,Colorado,Denver,39.758968,-104.876305,1,1,1,1.0,0.0,1,0,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",Denver Police Department,"Police Band Building, Denver Colorado",United States,Unknown,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,197002010001,1970,2,1,0,United States,North America,Oregon,Portland,45.511795,-122.675629,1,1,1,1.0,0.0,1,0,Facility/Infrastructure Attack,Government (General),Government Building/Facility/Office,Selective Service,Selective Service office Local Board No. 28 in Portland Oregon,United States,Left-Wing Militants,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,197002010002,1970,2,1,0,United States,North America,Illinois,Cairo,37.005105,-89.176269,1,1,1,0.0,0.0,1,0,Armed Assault,Police,"Police Building (headquarters, station, school)",Illinois State Police,Illinois State Police in the Pyramid Courts housing project,United States,Black Nationalists,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
